rs_sv_chem_l;rs_sv_tronc_l
2173902;75
2173397;2170
2173905;3675
2173397;3198
2173900;2186
2173903;2173
2173398;3681
2173398;642
2173743;9859
2173397;2179
2173407;569
2173903;599
2173900;1160
2173900;2007
2173776;2008
2173610;3402
2173796;138
2173513;3290
2173511;2192
2173514;2192
2173769;2192
2173770;2192
2173514;522
2173517;522
2173799;2193
2173517;332
2173514;640
2173517;640
2173383;2290
2173484;13471
2173485;13471
2173507;574
2173425;309
2173504;309
2173748;309
2173506;744
2173503;1080
2173504;1080
2173506;1080
2173507;1080
2173387;1678
2173616;2583
2173617;2583
2173776;2583
2174298;14245
2173387;1061
2173881;1061
2173503;1146
2173507;1115
2173764;1115
2173765;1115
2173764;1134
2173765;1134
2173764;2228
2173770;2228
2173752;2097
2173770;325
2173513;290
2173514;290
2173511;2142
2173383;73
2173882;73
2173383;1093
2173383;2243
2173758;1162
2173383;1141
2173796;1270
2173882;1119
2173881;7406
2173605;2256
2173758;2256
2173513;6854
2173517;6854
2173506;3291
2173507;3291
2173504;2265
2173506;2265
2173605;432
2173503;1021
2173882;1021
2173507;3365
2173513;2264
2173516;2264
2173511;2276
2173764;507
2173769;291
2173879;3467
2173893;7377
2173367;7387
2173470;7387
2173623;6777
2173783;7389
2173903;5290
2173868;6963
2173799;3400
2173617;7428
2173618;7428
2173367;13168
2173891;7043
2174314;14270
2173887;10295
2174174;11685
2174176;11685
2174177;11685
2173881;7036
2173637;7295
2173463;3512
2173637;7297
2173638;7297
2173824;6780
2173704;6996
2173561;10147
2173562;10147
2173563;10147
2174183;10544
2173897;7035
2173857;8003
2173858;8003
2173860;8003
2173688;13296
2173694;13296
2173616;13367
2173617;13367
2173618;13367
2173674;9414
2173839;11291
2173890;5412
2173903;3260
2173649;7293
2173890;6760
2173840;9734
2173836;2827
2173953;13671
2174153;12894
2174154;12894
2174417;14250
2173371;13311
2173875;5721
2173523;8441
2173525;8441
2174393;8721
2173397;12006
2173407;8741
2173874;8763
2173610;11565
2173484;11648
2173486;11648
2174396;14267
2174294;11894
2174369;11894
2174173;11890
2174151;12392
2174153;12392
2173748;11887
2173807;12533
2173808;12533
2173383;14228
2173801;12530
2173802;12554
2173748;11333
2173735;11229
2173913;12618
2173584;12966
2173749;12830
2173886;12830
2173742;12829
2173565;12965
2173690;13314
2173693;13314
2173694;13314
2173697;13314
2174295;14091
2173446;13310
2173447;13310
2173691;13310
2173697;13310
2173690;13301
2173691;13301
2173492;13499
2174396;13319
2174409;13319
2174442;13319
2174443;13319
2173696;13316
2173581;13361
2173582;13361
2173691;13361
2173694;13361
2173694;13325
2173737;13325
2173371;13313
2173688;13307
2173690;13307
2173690;13326
2174153;13865
2174440;13865
2173387;13867
2173680;13467
2173696;13811
2173580;13468
2173589;13468
2173736;13466
2173484;13465
2173485;13566
2173737;14106
2174435;14010
2173736;14105
2174428;14105
2173507;14065
2173617;13905
2173742;14025
2173873;14205
2173610;14230
2173849;11665
2173516;11673
2173707;11673
2174183;11673
2174192;11673
2174282;11673
2174369;11673
2174409;11673
2174436;11673
2173710;11668
2173988;11668
2174135;11668
2174139;11668
2174141;11668
2174142;11668
2174143;11668
2174145;11668
2174146;11668
2174153;11668
2174416;11668
2174439;11668
2174440;11668
2173517;11667
2174192;11667
2174442;11667
2173707;11867
2174282;14369
2174396;11903
2174409;11903
2173893;7357
2173894;7378
2173894;7365
2173981;7382
2174138;7382
2174143;8345
2174153;8345
2174439;8345
2173758;7381
2173383;13309
2174104;7331
2174105;7331
2173734;7386
2173735;7386
2174138;9439
2174139;9439
2174143;9439
2174145;9439
2174153;9439
2174154;9439
2174439;9439
2173371;8334
2174174;8334
2174176;8334
2174179;8334
2174180;8334
2174182;8334
2174184;8334
2174193;8334
2173672;9402
2173674;9402
2173734;11298
2173468;9349
2173660;9349
2173783;7358
2174051;7353
2174104;7353
2174143;7353
